question,answer
What is homeostasis?,"Homeostasis is the ability of the body to maintain a stable internal environment despite changes in external conditions, ensuring that the body's functions remain within a narrow range of normal values."
Where is the nucleus located within a cell?,"The nucleus is located in the center of the cell, surrounded by the cytoplasm and enclosed by the nuclear envelope."
What is the primary goal of the discipline of human anatomy and physiology as presented in this textbook?,"The primary goal is to make the discipline engaging and relevant to students, so that they can draw from it a working knowledge that will enrich their future studies and support them in their careers."
Where do students first explore specific systems of the body in the textbook?,"In Unit 2: Support and Movement, specifically in Chap ters 5–11."
What is the purpose of the preface in a medical textbook?,The preface provides access for free at opens tax.org.
Where is the University of North Carolina located?,The University of North Carolina is located in Greensboro.
What is an organ system?,A group of organs that work together to perform major functions or meet physiological needs of the body.
What is a tissue?,A group of many similar cells (though sometimes composed of a few related types) that work together to perform a specific function.
What is the narrow range of body temperature within which the body's chemical reactions can take place?,from just below to just above 37°C (98.6°F)
What is the body's response to heat that involves the evaporation of sweat from the skin?,"cooling, as it removes some thermal energy from the body"
What is the primary effect of the heat-loss center being stimulated when the body's temperature exceeds its normal range?,"Blood vessels in the skin begin to dilate, allowing more blood from the body core to flow to the surface of the skin, allowing the heat to radiate into the environment."
Where is the thyroid gland located in the endocrine system?,The thyroid gland is located in the endocrine system.
What is the function of cerebrospinal fluid?,"Cerebrospinal fluid cushions the brain and spinal cord within the posterior (dorsal) cavity, protecting them from injury."
Where is the heart located in the body?,"The heart is located in the mediastinum, within the thoracic cavity."
What is PET used to diagnose?,"PET is widely used to diagnose a multitude of conditions, such as heart disease, the spread of cancer, certain forms of infection, brain abnormalities, bone disease, and thyroid disease."
How does ultrasonography rely on to generate an image?,Ultrasonography relies on the transmission of high-frequency sound waves into the body to generate an echo signal that is converted by a computer into a real-time image of anatomy and physiology.
What type of radiation does a CT scanner use?,A CT scanner uses X-ray radiation.
What is the function of magnets in an MRI?,"Magnets in an MRI are used to align hydrogen atoms in the body, producing detailed images of internal structures."
What is the smallest quantity of an element that retains its unique properties?,An atom is the smallest quantity of an element that retains its unique properties.
Where are electrons shown to travel in the planetary model of atomic structure?,"Electrons are shown to travel in fixed orbits, depicted as rings, at a precise distance from the nucleus."
What is the valence shell?,An atom's outermost electron shell.
Where is the number of electrons in an atom's valence shell most strongly governed to participate in chemical reactions?,The number of electrons in its valence shell is the factor most strongly governing the tendency of an atom to participate in chemical reactions.
What is a hydrogen bond?,A hydrogen bond is formed when a weakly positive hydrogen atom already bonded to one electronegative atom is attracted to another electronegative atom from another molecule.
Where does hydrogen bonding commonly occur in the natural world?,"It commonly occurs between molecules of water, such as when two raindrops merge into a larger bead or a creek spills into a river."
